,PPO,CPPO,PPO-DeepSeek 10%,PPO-DeepSeek 1%,PPO-DeepSeek 0.1%,CPPO-DeepSeek 10%,CPPO-DeepSeek 1%,CPPO-DeepSeek 0.1%,CPPO-DeepSeek Phase1 EP90,CPPO-DeepSeek Phase1 EP100,CPPO-DeepSeek Phase1 EP110,Nasdaq-100
2023-08-03,3394948.103865293,2230950.810804178,1672152.6913635803,1192808.5432279466,2076428.899516441,1414571.072445619,2347902.0306071877,834224.1622414356,2100080.0052955747,2017501.1916846586,1696004.3939439175,2413748.3954555523
2023-08-04,3445858.3614739208,2281519.0430096057,1686342.3892210864,1193640.6288031996,2099763.714592834,1411614.8507745862,2377176.6366057103,833430.7557375322,2096773.6617587688,2035815.9104437025,1712075.048883526,2401388.4327870705
2023-08-07,3410264.426652034,2253727.354897239,1683694.8562251579,1184665.8742185868,2076107.062130845,1408556.8933914034,2361427.940210464,829353.7815794229,2086541.0938171519,2024012.837193513,1700113.9580296893,2422286.4679695237
2023-08-08,3387531.718035062,2227614.3600550545,1671857.3515371147,1177335.0353905933,2066262.1817184857,1411715.9550923395,2349301.209787593,821701.479034663,2090647.7038991426,2012394.2356641064,1693330.672529064,2401094.429426988
2023-08-09,3447811.7709719897,2251046.260742541,1666822.345825326,1176565.781280704,2073687.7880777472,1412120.18982668,2344081.1673428514,822692.5434159822,2085167.1768555823,2020709.4554009135,1700651.4494321092,2374157.8876342187
2023-08-10,3386084.774831663,2204019.5540011437,1669270.0748055417,1156254.0742876572,2065822.6436887742,1405393.381599351,2340126.6497702794,805954.1649241593,2076436.2432301159,2010398.822875635,1689712.2266403849,2378423.008963955
2023-08-11,3387430.4575752397,2207996.1638516453,1678536.3644310175,1152276.8818628823,2070111.9319606614,1397182.5941672395,2354325.997537769,791964.9300224137,2093491.6950308934,2026302.9633976698,1707598.1978987046,2362580.910415564
2023-08-14,3349654.1615670063,2179848.677147945,1657996.0245469126,1141782.5099493652,2053700.0108089282,1388463.7962464103,2336038.070115738,791936.1390021791,2068760.607000876,2011448.5347558432,1686850.6935494822,2390488.9682723545
2023-08-15,3301286.0522483173,2137160.3111035437,1639751.4967416332,1115107.9571744392,2034167.6346893732,1371140.6185447657,2319729.673077318,769263.4264060014,2048498.000004224,1989148.7190824074,1657093.6734043842,2364087.005957291
2023-08-16,3228837.2925738296,2090448.4893149338,1615442.5880523082,1111553.8423772282,2006920.9050145296,1363744.9903050845,2294336.8765902603,766326.8256117755,2017088.6888416945,1954164.4926714438,1626771.7869949092,2338747.6009556106
2023-08-17,3233205.740748121,2097824.233608146,1617997.5326368657,1106392.0451218723,2006813.628345967,1367416.34318126,2305336.146060866,758828.419855759,2017753.9522644246,1958023.3967062193,1630226.8870855398,2313490.025609765
2023-08-18,3290096.2360575143,2132605.9415915557,1629807.8980110756,1114168.7050047824,2012552.0455919425,1392343.3413416224,2319018.8853772646,762198.1226146076,2032432.2063641613,1987209.6230476059,1649615.6186689332,2310193.349812874
2023-08-21,3294312.436064431,2131527.0276055853,1629685.2472040143,1096787.7958922975,2010214.1736213365,1379012.782204267,2310460.5173766804,748130.4605431935,2015878.4718844723,1980753.2293621649,1645774.6762179676,2348214.9697299358
